Sep=;
#X1;-673;(-2692)
#Z1;-617;(-2468)
#X2;672;(2688)
#Z2;616;(2464)
#scale;1:4
seed;#;badlands;bamboo_jungle;beach;birch_forest;cherry_grove;cold_ocean;dark_forest;deep_cold_ocean;deep_frozen_ocean;deep_lukewarm_ocean;deep_ocean;desert;eroded_badlands;flower_forest;forest;frozen_ocean;frozen_peaks;frozen_river;grove;ice_spikes;jagged_peaks;jungle;lukewarm_ocean;mangrove_swamp;meadow;mushroom_fields;ocean;old_growth_birch_forest;old_growth_pine_taiga;old_growth_spruce_taiga;pale_garden;plains;river;savanna;savanna_plateau;snowy_beach;snowy_plains;snowy_slopes;snowy_taiga;sparse_jungle;stony_peaks;stony_shore;sunflower_plains;swamp;taiga;warm_ocean;windswept_forest;windswept_gravelly_hills;windswept_hills;windswept_savanna;wooded_badlands
-5687483379415514862;51;11264;17995;34699;33912;2307;37788;38163;4235;4702;229157;36760;21545;4569;4340;118476;49143;2377;19271;7801;398;993;21296;138741;13498;10773;18043;79996;17472;11207;21606;4556;105714;68894;50674;16159;11782;43999;10075;94388;15029;277;14373;5133;10285;85000;87764;12326;1213;2363;121;8312
5263863539465978182;47;28054;567;44335;30351;1698;41233;23231;8224;0;129935;258531;5358;7971;5202;124074;0;1256;4426;5646;1757;580;2780;118359;0;4429;6488;281432;23809;17973;14526;1992;115499;69050;67359;8955;0;21837;671;9086;1667;3129;32097;6747;27489;35825;22059;6197;5392;9880;3384;20424
-8295911988593163927;41;1940;0;40397;50776;2828;21758;56560;7484;0;206304;247467;5124;2819;14359;150564;0;0;0;1605;0;408;129;129277;323;18993;2481;251505;70877;14217;13896;7056;93237;90891;40109;11017;0;0;792;0;756;375;22609;9900;2276;23558;42123;1063;0;1162;1856;93
-3706743968302628488;34;779;14421;63999;63795;117;0;94669;0;0;249412;192285;5170;0;0;116570;0;2;0;1359;0;774;31138;176834;11721;13448;20906;268216;73631;0;0;5236;46196;76435;57339;433;0;0;0;0;20478;189;20484;0;142;0;31351;344;0;335;2715;41
5390808753962484107;39;620;20626;52477;57121;3192;41238;32653;15808;0;96880;146872;1039;0;9053;161526;0;2069;0;7047;0;2998;31321;175529;0;25826;471;301259;45851;5730;3864;2405;142785;85144;61394;7059;0;0;2497;0;29381;0;25137;21533;101;37243;3194;872;0;359;790;0
435441788971385228;45;0;9107;44007;59186;2322;45814;60130;853;0;199420;84099;2953;0;4505;207231;11485;2015;4905;5384;0;1928;32659;158968;1981;19214;10035;119651;54683;9534;11980;1785;132640;85908;29899;1572;1520;9189;729;17744;26937;0;6188;6819;24296;42429;78143;9261;399;9441;12016;0
7236721651230966170;47;3377;12631;21964;32041;19845;63722;43081;36963;0;152791;71446;24449;3826;3549;127562;3365;678;4473;3891;1933;695;15534;173254;0;35621;277;111638;24717;4772;14932;3932;160033;96127;109188;16009;1466;21763;478;10547;9229;210;43737;10628;9618;47104;98510;0;376;8271;0;711
5865375564696650160;43;0;8172;28544;29663;1676;39635;49381;10024;2451;106773;264471;0;0;7917;172309;6325;5463;8857;21628;3221;3542;17128;109493;7310;26917;4599;260511;45055;6917;18153;5671;118743;62206;11590;3419;1034;81838;6947;26736;12667;26;22189;2486;0;34668;0;0;1115;0;3494;0
433752939111121332;37;16773;16720;25101;25674;1055;30655;76868;43158;0;210569;215042;59410;4358;14500;99487;0;5150;0;13547;0;1745;20542;207533;0;2093;2216;191876;27124;0;0;7799;69934;71842;58240;2207;0;0;2474;0;10814;1367;40140;22522;0;12041;46394;0;0;0;3480;514
-8305482137801326066;41;0;10927;55727;47225;915;51623;74273;16534;0;245932;55535;2063;0;1515;202122;576;874;0;2049;0;0;24849;244630;10174;12743;178;153012;26702;5669;4159;4811;86531;87518;126101;3334;0;190;95;0;29628;63;17798;1077;7563;33471;3634;1815;0;1278;6051;0
